"RegionName","City","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03"
"Harbor Gateway","Los Angeles","CA","Los Angeles-Long Beach-Anaheim, CA","Los Angeles",196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,380000,389000,389900,392000,396500,389500,375000,399000,397000,399000,419500,418500,419000,418000,395000,405000,419888,420000,427900,399949.5,414999.5,426900,430000,440000,425000,442450,449000,430000,439000
"Valley High-North Laguna","Sacramento","CA","Sacramento","Sacramento",197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178500,185000,186500,189925,185000,184300,185000,185000,185000,199000,215000,214450,189500,171450,186000,199900,219900,227500,225000,229900,225000,220000,224000,220000,224000,229450,232450,239950,245000
"Watts","Los Angeles","CA","Los Angeles-Long Beach-Anaheim, CA","Los Angeles",198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210300,209450,2e+05,222500,219900,216400,229900,232500,239500,238500,249000,244500,235500,229900,240000,247000,249000,249000,249000,249900,263250,267000,270000,278999,269950,275000,278900,279900,287000
"Lawndale","Philadelphia","PA","Philadelphia","Philadelphia",199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114900,110000,114700,114700,109900,117500,119900,124900,119900,119450,120000,122250,119900,114900,106000,114900,116500,117450,119900,120000,119900,116500,117500,119450,124900,124900,119999,118950,117900,116200
"Edenvale - Seven Trees","San Jose","CA","San Jose","Santa Clara",200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,450000,455000,469475,469475,459888,450000,486500,499000,498944,499888,499999,508000,499444,504000,513944,538888,528450,566250,572444,572499.5,562475,547500,539950,548888,546000,539888,539888,575000,589888
"Brighton","Boston","MA","Boston","Suffolk",201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368500,369900,399000,399450,413700,399900,369500,434450,469900,449900,449950,455000,421000,405950
"Frankford","Philadelphia","PA","Philadelphia","Philadelphia",202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64900,64900,64900,64900,64900,64900,64888,69450,70900,69900,69450,69900,69949.5,65000,67900,68450,69900,69900,67700,68999,69999.5,75000,76700,75000,79900,77900,75000,75000,75000,76250
"Tarzana","Los Angeles","CA","Los Angeles-Long Beach-Anaheim, CA","Los Angeles",203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,644000,645000,649000,669000,605000,649000,675000,729500,717000,674975,642000,699000,762450,761500,642500,733500,799000,739000,789000,799000,799999,829000,825000,798000,829000,809999,798000,799000,752500
"Chatsworth","Los Angeles","CA","Los Angeles-Long Beach-Anaheim, CA","Los Angeles",204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,495000,469450,469000,479000,428000,489900,499250,5e+05,499999,499975,549450,541999.5,527000,499000,519000,529975,539475,539975,539500,575000,562000,552499.5,539900,539495.5,553948.5,549999,549499.5,541200,569000
"Dyker Heights","New York","NY","New York","Kings",205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,759000,759000,769000,764000,749000,769000,769000,794000,777000,785000,799000,785000,818000,858500,849000,839000,840000,839000,868000,849000,869000,853500,841500,879000,883944,871500,875000,839000,889000,910000
"Gage Park","Chicago","IL","Chicago","Cook",205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110000,110000,107500,104000,116500,103000,109000,109000,109700,108000,103500,114500,124900,113450,111600,99900,116000
"Wakefield","New York","NY","New York","Bronx",207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,399000,399000,399000,399000,399000,399000,395000,399000,399000,399000,389000,389999,409000,409000,409000,414500,419000,419000,429000,429000,429000,429000,429000,429000,429000,429000,425000,419000,425000
"Morris Park","New York","NY","New York","Bronx",208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182499.5,160000,152750,145000,140000,145000,145000,148000,155750,152500,149250,140000,136000,138499.5,140000,140000,140000,144950,145000,140000,143000,140000,141000,143950,129000,125000
"North Park","San Diego","CA","San Diego","San Diego",209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,485000,444000,399500,434500,429500,449000,429900,394500,421000,449000,475000,475000,525000,487500,479000,459475,485000,454000,485000,459888,449000
