neighborhood_id,tract_year,tract_id,percent_inside
180,1990,69.0,2.977
203,1990,405.02,38.403
199,1990,405.02,0.294
220,1990,105.0,0.043
170,1990,105.0,0.004
169,1990,105.0,0.02
162,1990,105.0,0.004
200,1990,105.0,0.127
71,1990,105.0,0.203
143,1990,105.0,21.011
199,1990,105.0,32.16
23,1990,105.0,46.029
127,1990,105.0,0
83,1990,331.0,0.56
31,1990,331.0,0
84,1990,331.0,55.485
85,1990,331.0,43.956
93,1990,221.02,2.58
16,1990,221.02,43.604
55,1990,221.02,0.558
13,1990,221.02,7.015
0,1990,221.02,3.445
300,1990,221.02,28.277
301,1990,221.02,13.877
306,1990,221.02,0.005
307,1990,221.02,0.007
308,1990,221.02,0.629
309,1990,221.02,0.002
350,1990,9.01,22.136
351,1990,9.01,77.68
438,1990,9.01,0.183
437,1990,7.01,0.009
325,1990,7.01,0.191
348,1990,7.01,0.184
314,1990,7.01,0.011
436,1990,7.01,99.605
257,1990,313.0,0
18,1990,313.0,1.467
69,1990,313.0,42.023
20,1990,313.0,9
118,1990,313.0,0.114
303,1990,313.0,23.304
28,1990,313.0,9.487
227,1990,313.0,14.285
356,1990,313.0,0.121
68,1990,83.01,49.592
344,1990,83.01,0
380,1990,83.01,0.563
437,1990,83.01,49.728
348,1990,83.01,0.064
314,1990,83.01,0.04
436,1990,83.01,0.012
349,1990,68.02,1.788
63,1990,68.02,0.118
194,1990,68.02,5.757
346,1990,68.02,75.939
180,1990,68.02,16.398
68,1990,83.02,6.935
329,1990,83.02,0
344,1990,83.02,0.001
380,1990,83.02,38.157
437,1990,83.02,54.908
341,1990,90.0,0.037
437,1990,90.0,99.963
342,1990,98.02,31.592
72,1990,98.02,64.902
137,1990,98.02,2.351
75,1990,98.02,0.222
378,1990,98.02,0.841
422,1990,98.02,0.093
341,1990,91.0,0.007
342,1990,91.0,29.007
137,1990,91.0,38.685
378,1990,91.0,11.355
437,1990,91.0,20.946
434,1990,1.0,7.639
184,1990,1.0,0.052
244,1990,1.0,0.483
181,1990,1.0,54.074
347,1990,1.0,37.752
434,1990,59.0,98.929
435,1990,59.0,0.884
244,1990,59.0,0.097
194,1990,59.0,0.09
51,1990,317.03,100
105,1990,68.01,0.065
349,1990,68.01,0.023
63,1990,68.01,0.142
346,1990,68.01,99.769
51,1990,317.02,84.039
46,1990,317.02,0.387
223,1990,317.02,0.015
32,1990,317.02,15.558
350,1990,9.02,0.026
347,1990,9.02,0.009
351,1990,9.02,0.004
375,1990,9.02,0.073
438,1990,9.02,99.888
253,1990,104.04,0.062
56,1990,104.04,27.395
53,1990,104.04,0.101
38,1990,104.04,42.259
71,1990,104.04,30.127
43,1990,104.04,0.004
111,1990,104.04,0.051
101,1990,96.01,32.042
77,1990,96.01,0.171
418,1990,96.01,67.787
85,1990,336.0,74.4
250,1990,336.0,25.545
343,1990,67.02,0.038
63,1990,67.02,75.536
194,1990,67.02,24.426
346,1990,67.02,0
69,1990,312.0,95.963
46,1990,312.0,0.124
67,1990,312.0,0.006
35,1990,312.0,0.001
32,1990,312.0,3.906
69,1990,311.0,27.088
35,1990,311.0,72.912
349,1990,61.0,5.009
194,1990,61.0,94.983
379,1990,61.0,0.007
30,1990,99.02,0.807
246,1990,99.02,3.751
253,1990,99.02,10.966
47,1990,99.02,1.03
299,1990,99.02,62.509
56,1990,99.02,0.068
71,1990,99.02,15.489
416,1990,99.02,3.59
422,1990,99.02,1.708
43,1990,99.02,0.084
72,1990,99.01,2.946
30,1990,99.01,50.498
75,1990,99.01,0.134
47,1990,99.01,0.03
299,1990,99.01,12.902
422,1990,99.01,33.491
172,1990,2.0,0.054
181,1990,2.0,73.26
347,1990,2.0,14.93
190,1990,2.0,1.954
375,1990,2.0,3.201
431,1990,2.0,6.094
432,1990,2.0,0.507
347,1990,3.01,0
374,1990,3.01,25.384
375,1990,3.01,50.088
407,1990,3.01,9.76
431,1990,3.01,14.749
438,1990,3.01,0.02
147,1990,4.01,0.014
407,1990,4.01,99.933
438,1990,4.01,0.054
105,1990,304.01,5.616
18,1990,304.01,0.004
69,1990,304.01,3.441
65,1990,304.01,16.859
35,1990,304.01,2.225
20,1990,304.01,71.854
147,1990,4.02,0.179
322,1990,4.02,26.121
407,1990,4.02,73.671
438,1990,4.02,0.028
114,1990,317.04,0
51,1990,317.04,99.988
223,1990,317.04,0.012
147,1990,5.01,0.098
322,1990,5.01,99.902
348,1990,5.01,0
68,1990,5.02,0.006
147,1990,5.02,0.001
322,1990,5.02,55.056
348,1990,5.02,44.937
51,1990,318.02,0.001
69,1990,318.02,0.001
245,1990,318.02,0.041
67,1990,318.02,0.224
223,1990,318.02,20.56
32,1990,318.02,79.173
68,1990,6.01,99.966
380,1990,6.01,0.008
348,1990,6.01,0.026
105,1990,304.02,22.225
3,1990,304.02,1.199
132,1990,304.02,0.942
117,1990,304.02,1.679
65,1990,304.02,43.997
63,1990,304.02,1.56
20,1990,304.02,28.397
105,1990,67.01,0.071
343,1990,67.01,0
132,1990,67.01,0.14
63,1990,67.01,99.599
20,1990,67.01,0.189
346,1990,67.01,0
68,1990,85.0,21.494
341,1990,85.0,0.001
137,1990,85.0,0.059
380,1990,85.0,18.232
437,1990,85.0,60.214
351,1990,8.02,0.108
322,1990,8.02,0.907
348,1990,8.02,18.283
407,1990,8.02,0.001
438,1990,8.02,80.701
115,1990,231.0,0.412
78,1990,231.0,75.503
140,1990,231.0,0.399
92,1990,231.0,4.178
57,1990,231.0,17.671
86,1990,231.0,0.14
43,1990,231.0,0.027
219,1990,231.0,1.67
285,1990,224.0,0.215
92,1990,224.0,10.27
144,1990,224.0,0.036
74,1990,224.0,68.754
58,1990,224.0,0.54
109,1990,224.0,17.781
91,1990,224.0,0.049
410,1990,224.0,2.355
100,1990,410.05,32.645
10,1990,410.05,24.021
238,1990,410.05,0.951
211,1990,410.05,2.112
171,1990,410.05,0
385,1990,410.05,0.068
325,1990,16.01,73.407
314,1990,16.01,26.56
436,1990,16.01,0.033
372,1990,82.02,5.106
329,1990,82.02,68.171
344,1990,82.02,26.685
437,1990,82.02,0.039
366,1990,204.01,0.045
8,1990,204.01,3.366
70,1990,204.01,11.426
138,1990,204.01,0.926
96,1990,204.01,38.7
155,1990,204.01,3.812
25,1990,204.01,0
15,1990,204.01,0.131
262,1990,204.01,0.026
305,1990,204.01,32.39
334,1990,204.01,8.678
366,1990,320.0,14.962
19,1990,320.0,3.83
44,1990,320.0,2.232
70,1990,320.0,0.02
15,1990,320.0,0.028
97,1990,320.0,0.012
256,1990,320.0,18.522
258,1990,320.0,17.021
259,1990,320.0,5.927
262,1990,320.0,0
288,1990,320.0,6.189
290,1990,320.0,0.334
305,1990,320.0,0.009
321,1990,320.0,30.434
334,1990,320.0,0
373,1990,320.0,0.48
285,1990,217.0,1.038
93,1990,217.0,19.353
61,1990,217.0,41.8
131,1990,217.0,0.905
37,1990,217.0,36.138
136,1990,217.0,0.073
285,1990,223.0,0.031
78,1990,223.0,0.001
88,1990,223.0,0.001
87,1990,223.0,0.733
92,1990,223.0,71.398
74,1990,223.0,0.066
109,1990,223.0,5.957
57,1990,223.0,2.138
91,1990,223.0,6.508
93,1990,223.0,0.527
43,1990,223.0,0.155
16,1990,223.0,0.823
219,1990,223.0,10.392
226,1990,223.0,1.032
301,1990,223.0,0.235
93,1990,220.0,86.689
61,1990,220.0,4.839
55,1990,220.0,5.95
37,1990,220.0,2.522
240,1990,408.01,47.851
211,1990,408.01,0.525
182,1990,408.01,25.404
33,1990,408.01,0.004
208,1990,408.01,4.828
214,1990,408.01,20.497
237,1990,408.01,0.892
233,1990,407.03,32.191
152,1990,407.03,0.05
208,1990,407.03,66.065
406,1990,407.03,0.032
233,1990,407.04,0.051
152,1990,407.04,79.964
234,1990,407.04,17.757
208,1990,407.04,0.024
243,1990,407.04,0.549
406,1990,407.04,0.008
240,1990,410.07,19.531
10,1990,410.07,72.855
385,1990,410.07,7.591
216,1990,410.07,0.023
261,1990,410.02,0
240,1990,410.02,43.303
404,1990,410.02,0.001
202,1990,410.02,0.01
50,1990,410.02,0.001
216,1990,410.02,52.763
182,1990,410.02,0.011
240,1990,410.03,1.886
100,1990,410.03,0.226
10,1990,410.03,12.13
385,1990,410.03,75.997
404,1990,410.03,6.736
216,1990,410.03,0.959
240,1990,411.05,0.003
216,1990,411.05,0.275
205,1990,411.05,29.12
182,1990,411.05,63.15
33,1990,411.05,7.187
159,1990,411.03,34.148
205,1990,411.03,19.034
33,1990,411.03,29.226
208,1990,411.03,0.001
439,1990,411.03,15.449
51,1990,316.06,100
24,1990,316.06,0
329,1990,92.01,37.608
344,1990,92.01,62.315
437,1990,92.01,0.077
112,1990,243.02,14.893
140,1990,243.02,0.14
151,1990,243.02,8.086
124,1990,243.02,36.682
142,1990,243.02,1.254
127,1990,243.02,0.101
231,1990,411.04,0.836
205,1990,411.04,1.211
233,1990,411.04,94.87
33,1990,411.04,2.046
208,1990,411.04,0.013
7,1990,413.05,0.002
260,1990,413.05,1.463
6,1990,413.05,3.872
29,1990,413.05,4.294
4,1990,413.05,5.936
234,1990,413.05,0
336,1990,413.05,0.081
397,1990,413.05,0.021
400,1990,413.05,0
402,1990,413.05,0.005
406,1990,413.05,0.011
433,1990,413.05,14.716
231,1990,413.04,18.061
4,1990,413.04,0
233,1990,413.04,0.513
336,1990,413.04,26.589
397,1990,413.04,0.021
406,1990,413.04,51.256
433,1990,413.04,0.106
203,1990,406.01,0.009
152,1990,406.01,0.002
234,1990,406.01,4.536
243,1990,406.01,8.68
240,1990,409.04,9.711
10,1990,409.04,5.537
238,1990,409.04,71.509
236,1990,409.04,2.353
211,1990,409.04,1.825
214,1990,409.04,9.064
160,1990,411.06,0.022
48,1990,411.06,13.8
202,1990,411.06,0
50,1990,411.06,34.74
216,1990,411.06,0.242
159,1990,411.06,8.524
205,1990,411.06,22.361
360,1990,411.06,0.012
415,1990,411.06,18.264
439,1990,411.06,1.022
145,1990,227.02,0.028
110,1990,227.02,0.099
149,1990,227.02,0.031
8,1990,227.02,0
262,1990,227.02,29.036
288,1990,227.02,3.344
313,1990,227.02,0.013
321,1990,227.02,0.011
334,1990,227.02,0.092
339,1990,227.02,67.335
373,1990,227.02,0.011
121,1990,321.01,0.057
256,1990,321.01,24.054
259,1990,321.01,53.899
321,1990,321.01,21.987
285,1990,206.0,38.424
377,1990,206.0,0.342
110,1990,206.0,0.012
41,1990,206.0,3.108
58,1990,206.0,28.771
109,1990,206.0,0.065
135,1990,206.0,8.998
93,1990,206.0,0.081
287,1990,206.0,15.176
313,1990,206.0,3.69
410,1990,206.0,0.001
113,1990,321.02,6.357
121,1990,321.02,0
21,1990,321.02,7.367
0,1990,321.02,6.295
19,1990,321.02,3.719
44,1990,321.02,3.712
262,1990,321.02,0.005
321,1990,321.02,46.255
339,1990,321.02,0
373,1990,321.02,26.291
193,1990,427.0,25.736
164,1990,427.0,0.005
201,1990,427.0,74.246
202,1990,427.0,0
360,1990,427.0,0.012
