id,name,area,in_portland
386,"Fishers Landing East",33746492.00000,f
387,"South Cliff",4260839.00000,f
388,"Dubois Park",5186566.00000,f
389,"Evergreen Highlands",8024251.00000,f
390,"East Columbia",62556705.00000,t
391,"South Burlingame",11851491.00000,t
392,Markham,14473431.00000,t
393,Bennington,27675246.00000,f
394,"Carter Park",9281202.00000,f
395,"Forest Ridge",3611244.00000,f
396,Marrion,18491395.00000,f
397,Landover-Sharmel,18505677.00000,f
398,"Burton Ridge",7189661.00000,f
399,Fircrest,37566553.00000,f
400,"North Hearthwood",4251013.00000,f
401,Northwood,6809868.00000,f
402,"First Place",5459192.00000,f
403,Hough,10784725.00000,f
404,Lincoln,19352694.00000,f
405,"Father Blanchet Park",8780889.00000,f
406,"North Image",43200984.00000,f
407,Woodstock,34754840.00000,t
408,"Marshall Park",17021180.00000,t
409,Crestwood,9406864.00000,t
410,Canemah,10177427.00000,f
411,"Hayden Island",89697044.00000,t
412,"CPO 9 Hillsboro",573060958.00000,f
413,Rivercrest,14239575.00000,f
414,"CPO 1 Cedar Hills-Cedar Mill S",42238.00000,f
415,"Roads End",12167787.00000,f
416,"Multnomah Co Unclaimed #14",6914743.00000,f
417,"Forest Highlands",23357294.00000,f
418,"Gresham - Wilkes East",37951180.00000,f
419,"West Slope",17528.00000,f
420,"CPO 1 Cedar Hills-Cedar Mill S",1560759.00000,f
421,"CPO 1 Cedar Hills-Cedar Mill S",434365.00000,f
422,"Gresham - Southwest",45626481.00000,f
423,"North Fork Lewis River",228630961.00000,f
424,Northcrest,5127041.00000,f
425,"Mountain View",11623785.00000,f
426,"Cascade Highlands",16180824.00000,f
427,Arnada,6358241.00000,f
428,"Forest Park",342060886.00000,t
429,Sylvan-Highlands,15782667.00000,t
430,"Goose Hollow",9454119.00000,t
431,Eastmoreland,23636173.00000,t
432,Eastmoreland,1248298.00000,t
433,"Burnt Bridge Creek",24377189.00000,f
434,"South Portland",47466708.00000,t
435,Homestead,22639970.00000,t
436,"South Tabor",22278077.00000,t
437,Powellhurst-Gilbert,95737556.00000,t
438,Creston-Kenilworth,22372850.00000,t
439,Ogden,40886865.00000,f
440,Oakbrook,16533407.00000,f
441,"East Fork Hills",144363568.00000,f
442,"CPO 8",3504303529.00000,f
