GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PUMA5A,BTTRA,BTBGA,NAME_E,ABDOE001,ABDOE002,ABDOE003,ABDOE004,ABDOE005,ABDOE006,ABDOE007,ABDOE008,ABDOE009,ABDOE010,ABDOE011,ABDOE012,ABDOE013,ABDOE014,ABDOE015,ABDOE016,ABDOE017,ABDPE001,NAME_M,ABDOM001,ABDOM002,ABDOM003,ABDOM004,ABDOM005,ABDOM006,ABDOM007,ABDOM008,ABDOM009,ABDOM010,ABDOM011,ABDOM012,ABDOM013,ABDOM014,ABDOM015,ABDOM016,ABDOM017,ABDPM001,GEOID10
"G53003300308013","2010-2014",,,"Washington","53","King County","033",,,"030801","3",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 308.01, King County, Washington",1099,108,50,31,77,84,90,81,10,44,160,141,109,32,18,64,0,46156,"Block Group 3, Census Tract 308.01, King County, Washington",142,95,71,35,64,67,80,51,17,50,94,92,84,37,28,81,12,14591,"530330308013"
"G53003300308021","2010-2014",,,"Washington","53","King County","033",,,"030802","1",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 308.02, King County, Washington",450,27,28,22,21,6,27,10,19,41,93,76,80,0,0,0,0,52222,"Block Group 1, Census Tract 308.02, King County, Washington",82,32,33,25,24,9,31,16,21,45,54,63,47,12,12,12,12,8218,"530330308021"
"G53003300308022","2010-2014",,,"Washington","53","King County","033",,,"030802","2",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 308.02, King County, Washington",560,56,0,34,23,29,36,28,0,15,57,133,78,32,15,24,0,60455,"Block Group 2, Census Tract 308.02, King County, Washington",104,42,12,37,26,30,33,26,12,17,41,70,66,27,24,26,12,12407,"530330308022"
"G53003300308023","2010-2014",,,"Washington","53","King County","033",,,"030802","3",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 308.02, King County, Washington",362,22,0,25,0,16,12,23,10,32,33,45,92,52,0,0,0,62222,"Block Group 3, Census Tract 308.02, King County, Washington",75,27,12,28,12,19,18,27,15,34,32,32,67,31,12,12,12,24603,"530330308023"
"G53003300309011","2010-2014",,,"Washington","53","King County","033",,,"030901","1",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 309.01, King County, Washington",593,11,25,12,11,20,69,17,29,51,39,121,90,66,13,14,5,65750,"Block Group 1, Census Tract 309.01, King County, Washington",90,11,19,18,13,15,40,14,27,34,26,50,42,33,12,12,7,17646,"530330309011"
"G53003300309012","2010-2014",,,"Washington","53","King County","033",,,"030901","2",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 309.01, King County, Washington",507,16,25,17,20,19,66,14,27,30,63,22,89,56,20,23,0,53487,"Block Group 2, Census Tract 309.01, King County, Washington",82,17,24,15,20,29,60,17,29,19,49,14,51,54,23,20,12,12536,"530330309012"
"G53003300309021","2010-2014",,,"Washington","53","King County","033",,,"030902","1",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 309.02, King County, Washington",883,185,18,37,21,18,51,46,13,45,37,139,137,108,15,8,5,52344,"Block Group 1, Census Tract 309.02, King County, Washington",115,92,23,30,17,20,54,40,20,36,34,73,89,64,23,13,8,19345,"530330309021"
"G53003300309022","2010-2014",,,"Washington","53","King County","033",,,"030902","2",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 309.02, King County, Washington",481,12,8,0,15,42,41,28,39,9,34,73,49,115,16,0,0,63393,"Block Group 2, Census Tract 309.02, King County, Washington",91,19,12,12,17,55,44,30,45,15,31,43,36,58,19,12,12,14716,"530330309022"
"G53003300309023","2010-2014",,,"Washington","53","King County","033",,,"030902","3",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 309.02, King County, Washington",702,98,9,23,43,7,15,24,57,52,172,92,54,37,0,6,13,50788,"Block Group 3, Census Tract 309.02, King County, Washington",140,72,15,35,44,13,23,21,59,48,88,70,55,31,12,10,20,5035,"530330309023"
"G53003300310001","2010-2014",,,"Washington","53","King County","033",,,"031000","1",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 310, King County, Washington",778,19,0,0,0,0,27,11,4,11,34,96,79,200,154,92,51,111750,"Block Group 1, Census Tract 310, King County, Washington",88,27,12,12,12,12,32,16,5,15,42,55,46,75,65,49,37,8020,"530330310001"
"G53003300310002","2010-2014",,,"Washington","53","King County","033",,,"031000","2",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 310, King County, Washington",579,0,0,9,19,32,0,31,34,21,62,68,125,73,39,10,56,77928,"Block Group 2, Census Tract 310, King County, Washington",76,12,12,13,21,23,12,31,32,23,66,52,76,59,39,17,58,20834,"530330310002"
"G53003300311001","2010-2014",,,"Washington","53","King County","033",,,"031100","1",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 311, King County, Washington",434,66,14,11,12,0,13,39,0,16,64,106,13,64,0,16,0,52300,"Block Group 1, Census Tract 311, King County, Washington",107,62,21,17,18,12,18,60,12,22,51,86,18,40,12,23,12,21756,"530330311001"
"G53003300311002","2010-2014",,,"Washington","53","King County","033",,,"031100","2",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 311, King County, Washington",487,18,11,22,28,8,9,13,19,7,58,28,73,39,97,55,2,84440,"Block Group 2, Census Tract 311, King County, Washington",78,17,8,11,13,7,8,15,19,7,41,26,50,39,82,41,3,25013,"530330311002"
"G53003300311003","2010-2014",,,"Washington","53","King County","033",,,"031100","3",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 311, King County, Washington",669,31,11,23,27,22,58,21,43,26,56,61,177,41,36,28,8,63380,"Block Group 3, Census Tract 311, King County, Washington",94,17,8,14,15,10,30,11,22,14,22,27,85,28,22,23,7,10206,"530330311003"
"G53003300311004","2010-2014",,,"Washington","53","King County","033",,,"031100","4",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 4, Census Tract 311, King County, Washington",543,54,18,35,125,51,13,78,3,43,26,18,49,5,14,6,5,29129,"Block Group 4, Census Tract 311, King County, Washington",117,63,19,46,87,50,19,55,5,53,21,15,29,6,7,6,7,9275,"530330311004"
"G53003300311005","2010-2014",,,"Washington","53","King County","033",,,"031100","5",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 5, Census Tract 311, King County, Washington",474,66,9,55,11,15,60,18,8,44,18,22,60,48,0,40,0,41875,"Block Group 5, Census Tract 311, King County, Washington",93,50,9,49,9,10,64,23,7,48,14,12,31,56,12,26,12,19594,"530330311005"
"G53003300312021","2010-2014",,,"Washington","53","King County","033",,,"031202","1",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 312.02, King County, Washington",415,14,0,0,11,11,0,0,0,11,54,97,89,90,12,26,0,81696,"Block Group 1, Census Tract 312.02, King County, Washington",101,22,12,12,17,17,12,12,12,17,66,65,66,65,19,21,12,25155,"530330312021"
"G53003300312022","2010-2014",,,"Washington","53","King County","033",,,"031202","2",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 312.02, King County, Washington",357,15,2,3,32,0,0,30,0,3,87,32,46,84,4,19,0,61354,"Block Group 2, Census Tract 312.02, King County, Washington",70,19,5,6,39,12,12,21,12,5,88,30,46,61,8,29,12,31157,"530330312022"
"G53003300312023","2010-2014",,,"Washington","53","King County","033",,,"031202","3",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 312.02, King County, Washington",380,12,0,0,12,0,18,0,27,0,18,36,63,48,58,33,55,100556,"Block Group 3, Census Tract 312.02, King County, Washington",85,20,12,12,20,12,28,12,30,12,29,31,46,45,47,38,44,17969,"530330312023"
"G53003300312024","2010-2014",,,"Washington","53","King County","033",,,"031202","4",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 4, Census Tract 312.02, King County, Washington",533,28,0,0,9,0,43,0,14,12,16,61,23,65,37,109,116,124464,"Block Group 4, Census Tract 312.02, King County, Washington",88,32,12,12,15,12,67,12,23,20,24,69,27,52,36,84,88,31144,"530330312024"
"G53003300312025","2010-2014",,,"Washington","53","King County","033",,,"031202","5",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 5, Census Tract 312.02, King County, Washington",527,52,31,16,49,22,18,6,59,12,101,22,65,15,50,6,3,48125,"Block Group 5, Census Tract 312.02, King County, Washington",108,24,24,18,60,14,16,7,61,9,82,18,38,17,36,7,5,16196,"530330312025"
"G53003300312041","2010-2014",,,"Washington","53","King County","033",,,"031204","1",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 312.04, King County, Washington",417,16,0,0,0,0,0,28,15,36,68,87,16,47,31,56,17,63417,"Block Group 1, Census Tract 312.04, King County, Washington",118,26,12,12,12,12,12,33,23,40,89,76,26,44,37,83,28,30604,"530330312041"
"G53003300312042","2010-2014",,,"Washington","53","King County","033",,,"031204","2",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 312.04, King County, Washington",430,0,0,0,0,0,0,0,30,34,19,33,97,31,47,35,104,102763,"Block Group 2, Census Tract 312.04, King County, Washington",84,12,12,12,12,12,12,12,35,38,32,39,59,37,46,40,67,40752,"530330312042"
"G53003300312043","2010-2014",,,"Washington","53","King County","033",,,"031204","3",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 312.04, King County, Washington",524,33,0,0,34,51,0,20,15,18,58,66,51,38,36,45,59,66650,"Block Group 3, Census Tract 312.04, King County, Washington",98,39,12,12,39,72,12,31,26,29,47,80,39,42,43,41,50,23483,"530330312043"
"G53003300312044","2010-2014",,,"Washington","53","King County","033",,,"031204","4",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 4, Census Tract 312.04, King County, Washington",317,0,0,0,32,17,0,23,15,49,31,0,20,18,99,13,0,58482,"Block Group 4, Census Tract 312.04, King County, Washington",91,12,12,12,36,26,12,37,26,39,35,12,33,28,90,22,12,81593,"530330312044"
"G53003300312045","2010-2014",,,"Washington","53","King County","033",,,"031204","5",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 5, Census Tract 312.04, King County, Washington",518,64,0,0,16,0,0,16,29,0,89,31,54,50,110,15,44,76000,"Block Group 5, Census Tract 312.04, King County, Washington",126,69,12,12,27,12,12,25,34,12,102,35,50,46,96,24,41,42700,"530330312045"
"G53003300312051","2010-2014",,,"Washington","53","King County","033",,,"031205","1",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 312.05, King County, Washington",895,42,17,153,22,0,54,10,0,33,135,45,151,55,69,54,55,57438,"Block Group 1, Census Tract 312.05, King County, Washington",163,34,28,129,35,12,83,17,12,51,91,49,75,55,71,59,87,12271,"530330312051"
"G53003300312052","2010-2014",,,"Washington","53","King County","033",,,"031205","2",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 312.05, King County, Washington",853,68,74,0,69,20,0,21,17,24,98,26,113,43,59,221,0,76484,"Block Group 2, Census Tract 312.05, King County, Washington",141,82,85,12,63,31,12,30,25,28,73,31,84,40,58,129,12,37266,"530330312052"
"G53003300312053","2010-2014",,,"Washington","53","King County","033",,,"031205","3",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 312.05, King County, Washington",519,18,43,0,30,0,14,17,0,34,16,40,67,78,13,98,51,97880,"Block Group 3, Census Tract 312.05, King County, Washington",113,28,69,12,35,12,23,28,12,40,25,40,49,54,21,65,45,26356,"530330312053"
