GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PUMA5A,BTTRA,BTBGA,NAME_E,ABDOE001,ABDOE002,ABDOE003,ABDOE004,ABDOE005,ABDOE006,ABDOE007,ABDOE008,ABDOE009,ABDOE010,ABDOE011,ABDOE012,ABDOE013,ABDOE014,ABDOE015,ABDOE016,ABDOE017,ABDPE001,NAME_M,ABDOM001,ABDOM002,ABDOM003,ABDOM004,ABDOM005,ABDOM006,ABDOM007,ABDOM008,ABDOM009,ABDOM010,ABDOM011,ABDOM012,ABDOM013,ABDOM014,ABDOM015,ABDOM016,ABDOM017,ABDPM001,GEOID10
"G41001100007007","2010-2014",,,"Oregon","41","Coos County","011",,,"000700","7",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 7, Census Tract 7, Coos County, Oregon",379,0,28,15,0,67,16,38,0,16,54,18,29,56,0,0,42,50440,"Block Group 7, Census Tract 7, Coos County, Oregon",83,12,33,25,12,49,23,45,12,25,54,28,29,51,12,12,61,11422,"410110007007"
"G41001100007008","2010-2014",,,"Oregon","41","Coos County","011",,,"000700","8",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 8, Census Tract 7, Coos County, Oregon",430,52,0,75,59,29,18,111,16,0,15,0,0,25,0,9,21,30000,"Block Group 8, Census Tract 7, Coos County, Oregon",110,60,12,57,52,31,31,72,27,12,27,12,12,29,12,20,25,13008,"410110007008"
"G41001100008001","2010-2014",,,"Oregon","41","Coos County","011",,,"000800","1",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 8, Coos County, Oregon",405,18,29,37,39,17,0,15,16,12,55,25,65,29,29,19,0,53750,"Block Group 1, Census Tract 8, Coos County, Oregon",71,19,27,29,31,19,12,17,19,15,33,22,42,26,28,21,12,10561,"410110008001"
"G41001100008002","2010-2014",,,"Oregon","41","Coos County","011",,,"000800","2",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 8, Coos County, Oregon",796,71,87,84,63,67,48,32,36,0,81,30,92,56,6,10,33,33553,"Block Group 2, Census Tract 8, Coos County, Oregon",104,50,61,60,54,53,34,26,27,12,42,25,37,48,10,15,27,7053,"410110008002"
"G41001100009001","2010-2014",,,"Oregon","41","Coos County","011",,,"000900","1",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 9, Coos County, Oregon",458,39,29,12,47,0,52,40,25,10,28,11,127,9,14,15,0,43500,"Block Group 1, Census Tract 9, Coos County, Oregon",108,43,33,20,58,12,47,50,39,16,31,18,101,16,21,23,12,20746,"410110009001"
"G41001100009002","2010-2014",,,"Oregon","41","Coos County","011",,,"000900","2",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 9, Coos County, Oregon",454,82,13,13,17,9,76,14,26,37,0,80,24,24,19,20,0,42788,"Block Group 2, Census Tract 9, Coos County, Oregon",127,86,22,21,28,14,85,22,41,35,12,78,27,39,31,32,12,24416,"410110009002"
"G41001100009003","2010-2014",,,"Oregon","41","Coos County","011",,,"000900","3",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 9, Coos County, Oregon",394,12,32,26,0,0,45,15,32,0,60,22,103,17,30,0,0,56622,"Block Group 3, Census Tract 9, Coos County, Oregon",113,20,52,29,12,12,54,22,23,12,52,25,117,27,47,12,12,24587,"410110009003"
"G41001100009004","2010-2014",,,"Oregon","41","Coos County","011",,,"000900","4",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 4, Census Tract 9, Coos County, Oregon",264,0,15,25,14,20,0,41,63,16,12,33,14,0,0,0,11,41932,"Block Group 4, Census Tract 9, Coos County, Oregon",79,12,24,29,22,34,12,39,55,29,19,31,25,12,12,12,18,4952,"410110009004"
"G41001100009005","2010-2014",,,"Oregon","41","Coos County","011",,,"000900","5",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 5, Census Tract 9, Coos County, Oregon",266,12,0,0,24,0,12,18,0,29,78,81,0,12,0,0,0,53056,"Block Group 5, Census Tract 9, Coos County, Oregon",99,19,12,12,29,12,20,30,12,33,63,92,12,20,12,12,12,9058,"410110009005"
"G41001100009006","2010-2014",,,"Oregon","41","Coos County","011",,,"000900","6",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 6, Census Tract 9, Coos County, Oregon",431,85,40,53,14,34,22,24,14,51,23,17,28,0,0,26,0,26728,"Block Group 6, Census Tract 9, Coos County, Oregon",96,90,39,45,23,34,27,28,23,38,27,25,31,12,12,22,12,13466,"410110009006"
"G41001100009007","2010-2014",,,"Oregon","41","Coos County","011",,,"000900","7",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 7, Census Tract 9, Coos County, Oregon",360,13,13,12,12,42,20,27,57,9,41,54,35,25,0,0,0,44298,"Block Group 7, Census Tract 9, Coos County, Oregon",90,21,21,19,20,40,18,30,61,14,38,53,41,29,12,12,12,9742,"410110009007"
"G41001100009008","2010-2014",,,"Oregon","41","Coos County","011",,,"000900","8",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 8, Census Tract 9, Coos County, Oregon",200,22,61,0,17,14,0,13,0,12,0,25,10,0,26,0,0,25000,"Block Group 8, Census Tract 9, Coos County, Oregon",77,26,69,12,25,22,12,20,12,20,12,21,17,12,43,12,12,28988,"410110009008"
"G41001100010001","2010-2014",,,"Oregon","41","Coos County","011",,,"001000","1",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 10, Coos County, Oregon",330,15,56,0,59,0,0,43,60,39,13,15,15,15,0,0,0,39535,"Block Group 1, Census Tract 10, Coos County, Oregon",103,24,69,12,67,12,12,66,54,47,21,24,23,24,12,12,12,11639,"410110010001"
"G41001100010002","2010-2014",,,"Oregon","41","Coos County","011",,,"001000","2",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 10, Coos County, Oregon",668,39,79,46,58,41,48,37,77,32,79,29,51,12,0,21,19,38250,"Block Group 2, Census Tract 10, Coos County, Oregon",160,46,63,53,65,50,62,43,80,45,91,34,80,20,12,33,32,14731,"410110010002"
"G41001100010003","2010-2014",,,"Oregon","41","Coos County","011",,,"001000","3",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 10, Coos County, Oregon",468,77,109,2,47,27,50,39,1,12,37,24,23,0,4,0,16,22447,"Block Group 3, Census Tract 10, Coos County, Oregon",170,66,94,7,73,27,49,49,4,17,56,34,31,12,6,12,27,14457,"410110010003"
"G41001100010004","2010-2014",,,"Oregon","41","Coos County","011",,,"001000","4",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 4, Census Tract 10, Coos County, Oregon",626,20,134,38,0,30,0,46,46,157,0,23,77,55,0,0,0,44946,"Block Group 4, Census Tract 10, Coos County, Oregon",150,33,113,43,12,34,12,57,55,107,12,21,84,49,12,12,12,7379,"410110010004"
"G41001100010005","2010-2014",,,"Oregon","41","Coos County","011",,,"001000","5",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 5, Census Tract 10, Coos County, Oregon",527,108,12,12,55,0,57,10,60,12,68,48,0,0,82,0,3,40720,"Block Group 5, Census Tract 10, Coos County, Oregon",185,111,21,19,76,12,84,17,57,20,55,74,12,12,79,12,7,13626,"410110010005"
"G41001100010006","2010-2014",,,"Oregon","41","Coos County","011",,,"001000","6",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 6, Census Tract 10, Coos County, Oregon",485,0,30,42,27,47,16,60,0,36,33,43,44,38,0,55,14,48924,"Block Group 6, Census Tract 10, Coos County, Oregon",124,12,24,66,30,44,25,58,12,56,53,39,40,44,12,70,23,17611,"410110010006"
"G41001100010007","2010-2014",,,"Oregon","41","Coos County","011",,,"001000","7",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 7, Census Tract 10, Coos County, Oregon",415,43,28,109,0,34,0,36,15,30,13,69,28,0,10,0,0,27022,"Block Group 7, Census Tract 10, Coos County, Oregon",117,60,37,95,12,39,12,34,24,33,23,60,33,12,16,12,12,24931,"410110010007"
"G41001100011001","2010-2014",,,"Oregon","41","Coos County","011",,,"001100","1",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 11, Coos County, Oregon",306,19,42,8,28,32,11,0,0,13,15,60,59,0,0,0,19,51250,"Block Group 1, Census Tract 11, Coos County, Oregon",100,21,38,12,20,34,17,12,12,20,21,84,46,12,12,12,27,46075,"410110011001"
"G41001100011002","2010-2014",,,"Oregon","41","Coos County","011",,,"001100","2",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 11, Coos County, Oregon",266,98,0,13,14,60,48,0,17,0,16,0,0,0,0,0,0,25667,"Block Group 2, Census Tract 11, Coos County, Oregon",121,101,12,20,21,46,72,12,25,12,24,12,12,12,12,12,12,15341,"410110011002"
"G41001100011003","2010-2014",,,"Oregon","41","Coos County","011",,,"001100","3",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 11, Coos County, Oregon",302,20,26,38,48,28,5,17,7,5,21,17,52,18,0,0,0,28676,"Block Group 3, Census Tract 11, Coos County, Oregon",61,14,29,24,41,20,9,18,13,8,20,16,33,17,12,12,12,13290,"410110011003"
"G41001100011004","2010-2014",,,"Oregon","41","Coos County","011",,,"001100","4",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 4, Census Tract 11, Coos County, Oregon",437,65,19,30,21,55,11,33,13,35,30,41,45,12,14,0,13,37431,"Block Group 4, Census Tract 11, Coos County, Oregon",75,30,17,18,17,29,14,33,14,28,28,25,24,12,21,12,20,7121,"410110011004"
"G41001100011005","2010-2014",,,"Oregon","41","Coos County","011",,,"001100","5",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 5, Census Tract 11, Coos County, Oregon",290,6,4,23,0,31,20,21,59,10,0,29,38,15,16,0,18,43603,"Block Group 5, Census Tract 11, Coos County, Oregon",70,10,6,27,12,34,30,22,51,17,12,22,30,22,23,12,28,8913,"410110011005"
"G41001100011006","2010-2014",,,"Oregon","41","Coos County","011",,,"001100","6",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 6, Census Tract 11, Coos County, Oregon",283,29,23,0,71,30,0,25,11,5,18,5,35,26,0,5,0,28403,"Block Group 6, Census Tract 11, Coos County, Oregon",73,25,17,12,58,32,12,23,12,8,16,13,31,27,12,9,12,12787,"410110011006"
"G41001100011007","2010-2014",,,"Oregon","41","Coos County","011",,,"001100","7",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 7, Census Tract 11, Coos County, Oregon",476,50,51,48,47,21,33,8,26,42,30,23,69,18,10,0,0,33500,"Block Group 7, Census Tract 11, Coos County, Oregon",97,33,24,37,29,18,23,8,22,32,26,20,41,17,12,12,12,10395,"410110011007"
"G41001109901010","2010-2014",,,"Oregon","41","Coos County","011",,,"990101","0",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 0, Census Tract 9901.01, Coos County, Oregon",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"Block Group 0, Census Tract 9901.01, Coos County, Oregon",12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,,"410119901010"
"G41001309501001","2010-2014",,,"Oregon","41","Crook County","013",,,"950100","1",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 9501, Crook County, Oregon",214,17,0,0,15,0,0,21,15,0,30,20,28,35,0,16,17,63625,"Block Group 1, Census Tract 9501, Crook County, Oregon",74,29,12,12,25,12,12,34,25,12,34,34,25,54,12,25,31,26845,"410139501001"
"G41001309501002","2010-2014",,,"Oregon","41","Crook County","013",,,"950100","2",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 9501, Crook County, Oregon",374,0,0,15,60,13,11,0,13,0,65,71,30,44,52,0,0,63056,"Block Group 2, Census Tract 9501, Crook County, Oregon",117,12,12,25,89,22,18,12,20,12,51,55,33,42,61,12,12,11633,"410139501002"
"G41001309501003","2010-2014",,,"Oregon","41","Crook County","013",,,"950100","3",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 9501, Crook County, Oregon",1564,251,80,121,116,116,163,148,29,44,51,117,206,86,9,27,0,33042,"Block Group 3, Census Tract 9501, Crook County, Oregon",170,120,56,77,73,68,73,106,35,42,48,68,87,78,17,32,12,4095,"410139501003"
"G41001309501004","2010-2014",,,"Oregon","41","Crook County","013",,,"950100","4",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 4, Census Tract 9501, Crook County, Oregon",335,28,21,19,0,70,87,0,44,0,16,50,0,0,0,0,0,31756,"Block Group 4, Census Tract 9501, Crook County, Oregon",110,31,32,30,12,76,66,12,51,12,26,71,12,12,12,12,12,7106,"410139501004"
"G41001309501005","2010-2014",,,"Oregon","41","Crook County","013",,,"950100","5",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 5, Census Tract 9501, Crook County, Oregon",444,60,50,0,50,31,14,11,0,11,84,46,31,0,0,56,0,46364,"Block Group 5, Census Tract 9501, Crook County, Oregon",118,55,45,12,58,38,23,18,12,17,93,59,39,12,12,80,12,32464,"410139501005"
"G41001309502001","2010-2014",,,"Oregon","41","Crook County","013",,,"950200","1",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 9502, Crook County, Oregon",489,10,25,27,25,33,25,20,16,63,50,10,98,45,17,12,13,52596,"Block Group 1, Census Tract 9502, Crook County, Oregon",85,14,25,33,23,33,22,21,25,47,41,15,80,35,19,19,19,16213,"410139502001"
"G41001309502002","2010-2014",,,"Oregon","41","Crook County","013",,,"950200","2",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 9502, Crook County, Oregon",491,8,0,62,30,80,42,21,12,41,61,77,48,0,0,0,9,43021,"Block Group 2, Census Tract 9502, Crook County, Oregon",96,14,12,68,27,62,31,26,15,58,50,50,33,12,12,12,16,18429,"410139502002"
"G41001309502003","2010-2014",,,"Oregon","41","Crook County","013",,,"950200","3",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 9502, Crook County, Oregon",478,102,50,66,34,56,27,33,8,12,64,16,10,0,0,0,0,21544,"Block Group 3, Census Tract 9502, Crook County, Oregon",104,67,35,55,31,40,28,38,14,19,47,18,16,12,12,12,12,7702,"410139502003"
"G41001309502004","2010-2014",,,"Oregon","41","Crook County","013",,,"950200","4",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 4, Census Tract 9502, Crook County, Oregon",342,6,42,10,73,23,35,25,0,0,75,20,12,8,6,7,0,33714,"Block Group 4, Census Tract 9502, Crook County, Oregon",57,10,36,16,40,21,28,23,12,12,53,21,19,13,9,10,12,7980,"410139502004"
"G41001309503001","2010-2014",,,"Oregon","41","Crook County","013",,,"950300","1",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 9503, Crook County, Oregon",283,35,0,30,13,0,28,71,0,74,6,12,14,0,0,0,0,37113,"Block Group 1, Census Tract 9503, Crook County, Oregon",119,52,12,34,21,12,30,50,12,80,12,19,23,12,12,12,12,7835,"410139503001"
"G41001309503002","2010-2014",,,"Oregon","41","Crook County","013",,,"950300","2",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 9503, Crook County, Oregon",849,91,80,190,77,174,40,0,16,42,54,26,34,0,4,21,0,24063,"Block Group 2, Census Tract 9503, Crook County, Oregon",126,69,79,120,64,95,39,12,24,33,62,29,35,12,8,35,12,5801,"410139503002"
"G41001309503003","2010-2014",,,"Oregon","41","Crook County","013",,,"950300","3",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 9503, Crook County, Oregon",298,17,50,0,37,0,41,19,0,25,67,12,30,0,0,0,0,38026,"Block Group 3, Census Tract 9503, Crook County, Oregon",99,27,41,12,62,12,36,30,12,38,60,19,26,12,12,12,12,19454,"410139503003"
"G41001309503004","2010-2014",,,"Oregon","41","Crook County","013",,,"950300","4",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 4, Census Tract 9503, Crook County, Oregon",216,31,48,28,19,26,25,0,0,0,0,32,0,7,0,0,0,20208,"Block Group 4, Census Tract 9503, Crook County, Oregon",84,49,57,45,23,20,31,12,12,12,12,30,12,13,12,12,12,11145,"410139503004"
"G41001309503005","2010-2014",,,"Oregon","41","Crook County","013",,,"950300","5",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 5, Census Tract 9503, Crook County, Oregon",888,66,17,21,43,53,27,14,49,36,90,88,111,170,49,38,16,63214,"Block Group 5, Census Tract 9503, Crook County, Oregon",116,57,28,35,50,67,30,23,46,36,59,53,70,82,43,35,25,17652,"410139503005"
"G41001309504001","2010-2014",,,"Oregon","41","Crook County","013",,,"950400","1",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 9504, Crook County, Oregon",1480,111,82,147,67,89,109,113,114,99,178,202,93,38,24,8,6,41170,"Block Group 1, Census Tract 9504, Crook County, Oregon",132,63,58,79,46,47,58,50,68,55,85,76,43,37,28,12,10,6159,"410139504001"
"G41001309504002","2010-2014",,,"Oregon","41","Crook County","013",,,"950400","2",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 9504, Crook County, Oregon",232,11,15,54,9,0,37,29,25,0,18,12,8,14,0,0,0,31824,"Block Group 2, Census Tract 9504, Crook County, Oregon",78,17,23,48,15,12,48,34,24,12,17,18,13,18,12,12,12,11558,"410139504002"
"G41001509501001","2010-2014",,,"Oregon","41","Curry County","015",,,"950100","1",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 9501, Curry County, Oregon",388,42,12,36,37,13,17,73,4,8,16,54,60,16,0,0,0,36968,"Block Group 1, Census Tract 9501, Curry County, Oregon",112,46,19,30,41,16,20,67,6,11,17,55,54,18,12,12,12,9034,"410159501001"
"G41001509501002","2010-2014",,,"Oregon","41","Curry County","015",,,"950100","2",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 9501, Curry County, Oregon",704,89,36,42,11,67,36,59,47,39,80,30,81,47,0,40,0,41000,"Block Group 2, Census Tract 9501, Curry County, Oregon",105,48,37,35,14,49,35,57,38,47,60,25,48,48,12,45,12,9814,"410159501002"
"G41001509501003","2010-2014",,,"Oregon","41","Curry County","015",,,"950100","3",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 9501, Curry County, Oregon",465,117,66,21,81,5,19,6,11,17,42,18,25,26,0,4,7,21827,"Block Group 3, Census Tract 9501, Curry County, Oregon",97,53,45,18,56,7,19,6,12,20,31,13,20,24,12,6,12,3191,"410159501003"
"G41001509502001","2010-2014",,,"Oregon","41","Curry County","015",,,"950200","1",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 9502, Curry County, Oregon",662,47,59,107,58,62,0,33,4,71,29,57,65,28,27,15,0,29896,"Block Group 1, Census Tract 9502, Curry County, Oregon",115,42,43,69,46,37,12,25,7,39,24,49,42,26,26,24,12,19750,"410159502001"
"G41001509502002","2010-2014",,,"Oregon","41","Curry County","015",,,"950200","2",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 9502, Curry County, Oregon",738,40,68,61,61,66,9,32,4,11,55,81,97,110,22,0,21,51771,"Block Group 2, Census Tract 9502, Curry County, Oregon",108,35,48,46,41,49,10,22,7,13,50,43,55,77,26,12,31,21224,"410159502002"
"G41001509502003","2010-2014",,,"Oregon","41","Curry County","015",,,"950200","3",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 9502, Curry County, Oregon",712,27,14,70,28,34,0,24,54,51,71,139,101,37,0,15,47,56741,"Block Group 3, Census Tract 9502, Curry County, Oregon",165,31,21,74,25,33,12,26,66,83,47,113,65,32,12,24,74,15976,"410159502003"
"G41001509503011","2010-2014",,,"Oregon","41","Curry County","015",,,"950301","1",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 9503.01, Curry County, Oregon",805,32,10,13,40,58,16,15,43,69,81,153,174,70,31,0,0,63157,"Block Group 1, Census Tract 9503.01, Curry County, Oregon",111,37,16,22,39,50,20,24,45,41,58,79,86,55,33,12,12,12289,"410159503011"
"G41001509503012","2010-2014",,,"Oregon","41","Curry County","015",,,"950301","2",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 9503.01, Curry County, Oregon",393,81,18,15,19,51,42,9,41,10,67,0,13,27,0,0,0,31008,"Block Group 2, Census Tract 9503.01, Curry County, Oregon",131,95,26,24,28,76,53,16,40,16,66,12,21,30,12,12,12,12655,"410159503012"
"G41001509503013","2010-2014",,,"Oregon","41","Curry County","015",,,"950301","3",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 9503.01, Curry County, Oregon",784,107,13,32,36,50,54,48,0,20,157,149,9,53,0,56,0,51905,"Block Group 3, Census Tract 9503.01, Curry County, Oregon",128,88,21,35,36,53,82,47,12,32,113,81,15,56,12,46,12,13216,"410159503013"
"G41001509503021","2010-2014",,,"Oregon","41","Curry County","015",,,"950302","1",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 9503.02, Curry County, Oregon",498,48,15,31,34,0,0,134,16,19,112,28,46,0,0,0,15,39549,"Block Group 1, Census Tract 9503.02, Curry County, Oregon",159,53,23,44,49,12,12,126,26,30,57,42,43,12,12,12,23,10970,"410159503021"
"G41001509503022","2010-2014",,,"Oregon","41","Curry County","015",,,"950302","2",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 9503.02, Curry County, Oregon",1137,19,75,84,111,53,38,65,18,181,33,112,228,46,16,42,16,47127,"Block Group 2, Census Tract 9503.02, Curry County, Oregon",247,33,90,71,70,54,45,55,30,139,45,63,126,55,26,39,37,4500,"410159503022"
"G41001509503023","2010-2014",,,"Oregon","41","Curry County","015",,,"950302","3",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 9503.02, Curry County, Oregon",819,83,19,63,148,34,0,135,106,35,0,114,35,25,22,0,0,38151,"Block Group 3, Census Tract 9503.02, Curry County, Oregon",193,105,32,80,120,42,12,113,107,47,12,98,34,39,37,12,12,11267,"410159503023"
"G41001509504001","2010-2014",,,"Oregon","41","Curry County","015",,,"950400","1",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 9504, Curry County, Oregon",771,87,7,206,113,11,0,11,81,78,29,57,33,58,0,0,0,22485,"Block Group 1, Census Tract 9504, Curry County, Oregon",180,91,12,137,80,19,12,17,70,78,36,49,33,72,12,12,12,24137,"410159504001"
"G41001509504002","2010-2014",,,"Oregon","41","Curry County","015",,,"950400","2",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 9504, Curry County, Oregon",365,71,12,52,58,81,26,39,0,13,13,0,0,0,0,0,0,22047,"Block Group 2, Census Tract 9504, Curry County, Oregon",137,83,20,62,71,88,30,61,12,21,21,12,12,12,12,12,12,11424,"410159504002"
"G41001509504003","2010-2014",,,"Oregon","41","Curry County","015",,,"950400","3",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 9504, Curry County, Oregon",588,49,0,32,43,69,0,0,69,24,14,31,126,105,26,0,0,53929,"Block Group 3, Census Tract 9504, Curry County, Oregon",137,67,12,37,41,51,12,12,62,28,23,35,74,92,30,12,12,36058,"410159504003"
"G41001509504004","2010-2014",,,"Oregon","41","Curry County","015",,,"950400","4",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 4, Census Tract 9504, Curry County, Oregon",467,78,13,51,0,59,0,36,30,47,0,53,20,80,0,0,0,39650,"Block Group 4, Census Tract 9504, Curry County, Oregon",129,85,20,66,12,38,12,28,33,55,12,43,25,74,12,12,12,13385,"410159504004"
"G41001509901010","2010-2014",,,"Oregon","41","Curry County","015",,,"990101","0",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 0, Census Tract 9901.01, Curry County, Oregon",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"Block Group 0, Census Tract 9901.01, Curry County, Oregon",12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,,"410159901010"
"G41001700001001","2010-2014",,,"Oregon","41","Deschutes County","017",,,"000100","1",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 1, Deschutes County, Oregon",732,23,9,26,12,9,29,36,5,33,48,77,102,101,130,35,57,85114,"Block Group 1, Census Tract 1, Deschutes County, Oregon",62,28,10,20,14,11,24,28,7,21,22,36,46,34,51,21,30,8937,"410170001001"
"G41001700002001","2010-2014",,,"Oregon","41","Deschutes County","017",,,"000200","1",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 2, Deschutes County, Oregon",742,86,88,74,57,27,44,0,12,0,54,90,133,36,29,12,0,33864,"Block Group 1, Census Tract 2, Deschutes County, Oregon",133,82,82,84,44,31,42,12,19,12,43,66,69,36,30,20,12,37373,"410170002001"
"G41001700002002","2010-2014",,,"Oregon","41","Deschutes County","017",,,"000200","2",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 2, Deschutes County, Oregon",438,28,38,12,59,39,28,71,0,23,71,27,16,6,9,0,11,37813,"Block Group 2, Census Tract 2, Deschutes County, Oregon",114,26,28,10,48,49,29,76,12,32,66,42,15,7,10,12,14,8646,"410170002002"
"G41001700002003","2010-2014",,,"Oregon","41","Deschutes County","017",,,"000200","3",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 2, Deschutes County, Oregon",440,44,32,32,65,31,60,58,31,18,12,19,33,0,5,0,0,30909,"Block Group 3, Census Tract 2, Deschutes County, Oregon",101,25,24,27,46,25,42,50,23,15,12,18,33,12,10,12,12,3436,"410170002003"
"G41001700002004","2010-2014",,,"Oregon","41","Deschutes County","017",,,"000200","4",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 4, Census Tract 2, Deschutes County, Oregon",400,13,52,55,86,46,17,0,23,33,18,0,42,0,15,0,0,24803,"Block Group 4, Census Tract 2, Deschutes County, Oregon",147,21,84,75,100,38,26,12,27,36,28,12,67,12,23,12,12,7406,"410170002004"
"G41001700003001","2010-2014",,,"Oregon","41","Deschutes County","017",,,"000300","1",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1, Census Tract 3, Deschutes County, Oregon",1448,152,0,119,86,68,132,49,88,158,51,118,165,139,17,28,78,46210,"Block Group 1, Census Tract 3, Deschutes County, Oregon",271,134,12,118,71,50,99,45,96,136,48,79,96,104,28,33,73,6770,"410170003001"
"G41001700003002","2010-2014",,,"Oregon","41","Deschutes County","017",,,"000300","2",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2, Census Tract 3, Deschutes County, Oregon",851,70,34,95,41,77,74,75,24,22,86,168,68,0,17,0,0,36487,"Block Group 2, Census Tract 3, Deschutes County, Oregon",178,50,35,91,39,56,55,83,25,23,58,95,48,12,24,12,12,8612,"410170003002"
"G41001700003003","2010-2014",,,"Oregon","41","Deschutes County","017",,,"000300","3",,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 3, Census Tract 3, Deschutes County, Oregon",440,40,46,113,17,0,0,34,34,30,0,78,13,17,18,0,0,37794,"Block Group 3, Census Tract 3, Deschutes County, Oregon",122,64,44,95,26,12,12,37,38,35,12,88,21,25,29,12,12,37652,"410170003003"
