GISJOIN,GEOGYEAR,STATE,STATEA,COUNTY,COUNTYA,TRACTA,BLCK_GRPA,CM1AA2000,CM1AA2000L,CM1AA2000U,CM1AA2010,CM1AB2000,CM1AB2000L,CM1AB2000U,CM1AB2010,CM1AC2000,CM1AC2000L,CM1AC2000U,CM1AC2010,CM1AD2000,CM1AD2000L,CM1AD2000U,CM1AD2010,CM1AE2000,CM1AE2000L,CM1AE2000U,CM1AE2010,CM1AF2000,CM1AF2000L,CM1AF2000U,CM1AF2010,CM1AG2000,CM1AG2000L,CM1AG2000U,CM1AG2010,GEOID10
"G41000500202005","2010","Oregon","41","Clackamas County","005","020200","5",865.00,865,865,1013,13.00,13,13,7,3.00,3,3,2,49.00,49,49,32,1.00,1,1,1,2.00,2,2,4,17.00,17,17,42,"410050202005"
"G41000500203021","2010","Oregon","41","Clackamas County","005","020302","1",868.00,868,868,779,9.00,9,9,15,5.00,5,5,6,40.00,40,40,58,6.00,6,6,0,24.00,24,24,21,33.00,33,33,43,"410050203021"
"G41000500203022","2010","Oregon","41","Clackamas County","005","020302","2",2390.60,2088,2392,2326,12.00,12,12,19,5.00,5,5,13,100.88,79,101,182,2.00,1,2,4,23.99,22,24,26,56.96,50,57,99,"410050203022"
"G41000500203031","2010","Oregon","41","Clackamas County","005","020303","1",1455.33,1011,1460,1590,18.93,12,19,15,1.00,1,1,8,103.52,57,104,112,3.98,2,4,1,13.90,5,14,23,87.49,38,88,77,"410050203031"
"G41000500203032","2010","Oregon","41","Clackamas County","005","020303","2",1006.11,806,1018,998,1.00,1,1,11,6.94,6,7,10,46.27,34,47,43,3.94,3,4,7,11.94,11,12,2,33.82,31,34,29,"410050203032"
"G41000500203033","2010","Oregon","41","Clackamas County","005","020303","3",2062.00,2062,2062,1997,31.00,31,31,34,5.00,5,5,9,159.00,159,159,190,3.00,3,3,17,30.00,30,30,20,59.00,59,59,82,"410050203033"
"G41000500203041","2010","Oregon","41","Clackamas County","005","020304","1",1959.55,1535,1964,1759,14.00,13,14,18,5.00,3,5,13,203.34,164,204,250,0.00,0,0,0,19.24,13,20,27,47.98,39,48,72,"410050203041"
"G41000500203042","2010","Oregon","41","Clackamas County","005","020304","2",1266.10,488,1268,1134,8.99,6,9,9,1.99,0,2,0,128.83,36,129,147,3.99,0,4,1,12.97,5,13,9,32.95,13,33,52,"410050203042"
"G41000500203043","2010","Oregon","41","Clackamas County","005","020304","3",1595.00,1595,1595,1583,17.00,17,17,26,3.00,3,3,4,241.00,241,241,268,1.00,1,1,7,23.00,23,23,14,108.00,108,108,45,"410050203043"
"G41000500204011","2010","Oregon","41","Clackamas County","005","020401","1",1116.00,1116,1116,1116,6.00,6,6,4,3.00,3,3,8,57.00,57,57,71,0.00,0,0,2,2.00,2,2,11,29.00,29,29,32,"410050204011"
"G41000500204012","2010","Oregon","41","Clackamas County","005","020401","2",668.00,668,668,678,5.00,5,5,8,5.00,5,5,7,21.00,21,21,54,2.00,2,2,1,4.00,4,4,7,28.00,28,28,30,"410050204012"
"G41000500204013","2010","Oregon","41","Clackamas County","005","020401","3",1340.00,1340,1340,1246,12.00,12,12,5,4.00,4,4,5,25.00,25,25,33,4.00,4,4,1,23.00,23,23,12,41.00,41,41,67,"410050204013"
"G41000500204014","2010","Oregon","41","Clackamas County","005","020401","4",1688.00,1688,1688,1551,4.00,4,4,3,4.00,4,4,5,24.00,24,24,44,0.00,0,0,1,15.00,15,15,9,39.00,39,39,48,"410050204014"
"G41000500204031","2010","Oregon","41","Clackamas County","005","020403","1",2236.54,2200,2289,2341,15.41,15,16,10,15.00,15,15,10,59.75,59,61,65,3.00,3,3,0,7.00,7,7,9,48.37,48,49,60,"410050204031"
"G41000500204032","2010","Oregon","41","Clackamas County","005","020403","2",1020.46,968,1057,1039,0.59,0,1,3,1.00,1,1,3,57.25,56,58,59,9.00,9,9,6,7.00,7,7,3,24.63,24,25,20,"410050204032"
"G41000500204041","2010","Oregon","41","Clackamas County","005","020404","1",2001.00,2001,2001,1818,3.00,3,3,10,1.00,1,1,6,40.00,40,40,60,0.00,0,0,2,6.00,6,6,27,35.00,35,35,56,"410050204041"
"G41000500204042","2010","Oregon","41","Clackamas County","005","020404","2",1660.00,1660,1660,1614,6.00,6,6,1,7.00,7,7,8,43.00,43,43,58,1.00,1,1,0,8.00,8,8,3,29.00,29,29,45,"410050204042"
"G41000500205011","2010","Oregon","41","Clackamas County","005","020501","1",888.00,888,888,822,2.00,2,2,3,8.00,8,8,0,18.00,18,18,15,0.00,0,0,2,6.00,6,6,8,6.00,6,6,28,"410050205011"
"G41000500205012","2010","Oregon","41","Clackamas County","005","020501","2",1824.00,1824,1824,2798,22.00,22,22,37,6.00,6,6,10,72.00,72,72,118,0.00,0,0,3,23.00,23,23,69,52.00,52,52,104,"410050205012"
"G41000500205013","2010","Oregon","41","Clackamas County","005","020501","3",1409.00,1409,1409,2523,3.00,3,3,31,15.00,15,15,12,75.00,75,75,230,0.00,0,0,9,3.00,3,3,15,33.00,33,33,84,"410050205013"
"G41000500205031","2010","Oregon","41","Clackamas County","005","020503","1",1180.00,1180,1180,1243,9.00,9,9,6,4.00,4,4,7,27.00,27,27,29,1.00,1,1,0,16.00,16,16,10,22.00,22,22,31,"410050205031"
"G41000500205032","2010","Oregon","41","Clackamas County","005","020503","2",959.00,959,959,926,6.00,6,6,3,1.00,1,1,8,13.00,13,13,34,2.00,2,2,0,13.00,13,13,9,18.00,18,18,33,"410050205032"
"G41000500205041","2010","Oregon","41","Clackamas County","005","020504","1",983.00,983,983,976,8.00,8,8,4,0.00,0,0,0,37.00,37,37,57,0.00,0,0,2,6.00,6,6,4,22.00,22,22,28,"410050205041"
"G41000500205042","2010","Oregon","41","Clackamas County","005","020504","2",2512.31,2284,2793,2418,13.61,13,14,11,9.00,9,9,14,100.74,89,115,118,1.00,1,1,1,7.92,7,11,11,82.14,81,87,76,"410050205042"
"G41000500205043","2010","Oregon","41","Clackamas County","005","020504","3",2561.65,2438,2788,2398,21.39,21,22,5,5.00,5,5,18,81.29,75,93,96,3.00,3,3,1,31.09,31,32,15,31.86,29,33,63,"410050205043"
"G41000500205051","2010","Oregon","41","Clackamas County","005","020505","1",981.04,822,983,1349,16.00,16,16,9,5.00,5,5,6,34.97,27,35,38,0.00,0,0,12,11.99,9,12,2,21.99,20,22,8,"410050205051"
"G41000500205052","2010","Oregon","41","Clackamas County","005","020505","2",1195.00,1195,1197,1147,8.00,8,8,2,3.00,3,3,5,40.00,40,40,30,1.00,1,1,1,1.00,1,1,10,19.00,19,19,42,"410050205052"
"G41000500206001","2010","Oregon","41","Clackamas County","005","020600","1",1614.00,1614,1614,1591,4.00,4,4,10,4.00,4,4,4,34.00,34,34,39,1.00,1,1,0,14.00,14,14,19,20.00,20,20,55,"410050206001"
"G41000500206002","2010","Oregon","41","Clackamas County","005","020600","2",2661.65,2198,2674,2721,11.99,9,12,23,14.99,9,15,6,87.52,69,88,113,3.00,3,3,2,17.56,8,18,20,49.91,40,50,103,"410050206002"
"G41000500206003","2010","Oregon","41","Clackamas County","005","020600","3",2410.35,2398,2874,2788,15.01,15,18,36,4.01,4,10,7,61.48,61,80,131,1.00,1,1,2,24.44,24,34,40,65.09,65,75,104,"410050206003"
"G41000500207001","2010","Oregon","41","Clackamas County","005","020700","1",737.00,737,737,721,4.00,4,4,0,2.00,2,2,5,5.00,5,5,12,0.00,0,0,1,12.00,12,12,9,12.00,12,12,24,"410050207001"
"G41000500207002","2010","Oregon","41","Clackamas County","005","020700","2",1909.00,1909,1909,1877,4.00,4,4,10,12.00,12,12,3,52.00,52,52,49,1.00,1,1,3,20.00,20,20,42,39.00,39,39,67,"410050207002"
"G41000500207003","2010","Oregon","41","Clackamas County","005","020700","3",934.00,934,934,883,5.00,5,5,1,2.00,2,2,2,14.00,14,14,35,7.00,7,7,1,1.00,1,1,4,17.00,17,17,32,"410050207003"
"G41000500208001","2010","Oregon","41","Clackamas County","005","020800","1",1336.13,1332,1456,1205,15.00,15,15,16,12.00,12,14,12,21.00,21,23,36,1.00,1,1,5,27.00,27,27,10,40.03,40,43,47,"410050208001"
