GISJOIN,GEOGYEAR,STATE,STATEA,COUNTY,COUNTYA,TRACTA,BLCK_GRPA,CL8AA2000,CL8AA2000L,CL8AA2000U,CL8AA2010,GEOID10
"G53003300104021","2010","Washington","53","King County","033","010402","1",1197.00,1197,1197,1191,"530330104021"
"G53003300104022","2010","Washington","53","King County","033","010402","2",1321.00,1321,1321,1294,"530330104022"
"G53003300104023","2010","Washington","53","King County","033","010402","3",949.11,936,2125,960,"530330104023"
"G53003300104024","2010","Washington","53","King County","033","010402","4",1138.00,1138,1138,1224,"530330104024"
"G53003300105001","2010","Washington","53","King County","033","010500","1",892.00,892,892,1016,"530330105001"
"G53003300105002","2010","Washington","53","King County","033","010500","2",1237.00,1237,1237,1261,"530330105002"
"G53003300105003","2010","Washington","53","King County","033","010500","3",1034.00,1034,1034,1138,"530330105003"
"G53003300105004","2010","Washington","53","King County","033","010500","4",1266.00,1266,1266,1534,"530330105004"
"G53003300105005","2010","Washington","53","King County","033","010500","5",1052.00,1052,1052,1393,"530330105005"
"G53003300106001","2010","Washington","53","King County","033","010600","1",1361.00,1361,1361,1437,"530330106001"
"G53003300106002","2010","Washington","53","King County","033","010600","2",971.00,971,971,1041,"530330106002"
"G53003300106003","2010","Washington","53","King County","033","010600","3",1499.00,1499,1499,1551,"530330106003"
"G53003300106004","2010","Washington","53","King County","033","010600","4",893.00,893,893,919,"530330106004"
"G53003300106005","2010","Washington","53","King County","033","010600","5",1445.00,1445,1445,1474,"530330106005"
"G53003300106006","2010","Washington","53","King County","033","010600","6",906.00,906,906,888,"530330106006"
"G53003300107011","2010","Washington","53","King County","033","010701","1",2006.00,2006,2006,2156,"530330107011"
"G53003300107012","2010","Washington","53","King County","033","010701","2",1187.00,1187,1187,1229,"530330107012"
"G53003300107021","2010","Washington","53","King County","033","010702","1",984.00,984,984,1164,"530330107021"
"G53003300107022","2010","Washington","53","King County","033","010702","2",1054.00,1054,1054,1421,"530330107022"
"G53003300107023","2010","Washington","53","King County","033","010702","3",909.00,909,909,1094,"530330107023"
"G53003300108001","2010","Washington","53","King County","033","010800","1",1323.89,826,1324,1358,"530330108001"
"G53003300108002","2010","Washington","53","King County","033","010800","2",1329.00,1329,1329,1307,"530330108002"
"G53003300108003","2010","Washington","53","King County","033","010800","3",1665.11,1665,2163,1931,"530330108003"
"G53003300109001","2010","Washington","53","King County","033","010900","1",675.00,675,675,729,"530330109001"
"G53003300109002","2010","Washington","53","King County","033","010900","2",506.00,506,506,558,"530330109002"
"G53003300110011","2010","Washington","53","King County","033","011001","1",405.13,132,655,1158,"530330110011"
"G53003300110012","2010","Washington","53","King County","033","011001","2",785.90,569,1092,1104,"530330110012"
"G53003300110013","2010","Washington","53","King County","033","011001","3",1314.00,1314,1314,2272,"530330110013"
"G53003300110021","2010","Washington","53","King County","033","011002","1",939.00,939,939,1023,"530330110021"
"G53003300110022","2010","Washington","53","King County","033","011002","2",1717.97,1685,1926,2322,"530330110022"
"G53003300110023","2010","Washington","53","King County","033","011002","3",1098.00,1098,1098,1134,"530330110023"
"G53003300111011","2010","Washington","53","King County","033","011101","1",1098.00,1098,1098,887,"530330111011"
"G53003300111012","2010","Washington","53","King County","033","011101","2",1176.00,1176,1176,1103,"530330111012"
"G53003300111013","2010","Washington","53","King County","033","011101","3",1039.00,1039,1039,1120,"530330111013"
"G53003300111014","2010","Washington","53","King County","033","011101","4",1247.00,1247,1247,1280,"530330111014"
"G53003300111021","2010","Washington","53","King County","033","011102","1",1220.00,1220,1220,1212,"530330111021"
"G53003300111022","2010","Washington","53","King County","033","011102","2",1179.00,1179,1179,1279,"530330111022"
"G53003300111023","2010","Washington","53","King County","033","011102","3",1057.00,1057,1057,896,"530330111023"
"G53003300111024","2010","Washington","53","King County","033","011102","4",904.00,904,904,1032,"530330111024"
"G53003300112001","2010","Washington","53","King County","033","011200","1",1237.90,1224,1238,1407,"530330112001"
"G53003300112002","2010","Washington","53","King County","033","011200","2",942.00,942,942,872,"530330112002"
"G53003300112003","2010","Washington","53","King County","033","011200","3",1535.63,1386,1537,1627,"530330112003"
"G53003300113001","2010","Washington","53","King County","033","011300","1",1571.13,1570,1705,1640,"530330113001"
"G53003300113002","2010","Washington","53","King County","033","011300","2",1057.11,1006,1058,1157,"530330113002"
"G53003300113003","2010","Washington","53","King County","033","011300","3",1064.76,982,1065,1029,"530330113003"
"G53003300113004","2010","Washington","53","King County","033","011300","4",1134.00,1134,1134,1046,"530330113004"
"G53003300113005","2010","Washington","53","King County","033","011300","5",1148.00,1148,1148,1112,"530330113005"
"G53003300114011","2010","Washington","53","King County","033","011401","1",1284.00,1284,1284,1342,"530330114011"
"G53003300114012","2010","Washington","53","King County","033","011401","2",1234.00,1234,1234,1231,"530330114012"
"G53003300114013","2010","Washington","53","King County","033","011401","3",1481.00,1481,1481,1454,"530330114013"
"G53003300114021","2010","Washington","53","King County","033","011402","1",1088.00,1088,1088,1095,"530330114021"
"G53003300114022","2010","Washington","53","King County","033","011402","2",1479.00,1479,1479,1504,"530330114022"
"G53003300114023","2010","Washington","53","King County","033","011402","3",1338.00,1338,1338,1575,"530330114023"
"G53003300115001","2010","Washington","53","King County","033","011500","1",1313.00,1313,1313,1352,"530330115001"
"G53003300115002","2010","Washington","53","King County","033","011500","2",1492.00,1492,1492,1424,"530330115002"
"G53003300115003","2010","Washington","53","King County","033","011500","3",1368.00,1368,1368,1415,"530330115003"
"G53003300116001","2010","Washington","53","King County","033","011600","1",1133.00,1133,1133,1203,"530330116001"
"G53003300116002","2010","Washington","53","King County","033","011600","2",919.00,919,919,938,"530330116002"
"G53003300116003","2010","Washington","53","King County","033","011600","3",1179.00,1179,1179,1242,"530330116003"
"G53003300116004","2010","Washington","53","King County","033","011600","4",950.00,950,950,1009,"530330116004"
"G53003300116005","2010","Washington","53","King County","033","011600","5",825.00,825,825,833,"530330116005"
"G53003300116006","2010","Washington","53","King County","033","011600","6",1105.00,1105,1105,1188,"530330116006"
"G53003300117001","2010","Washington","53","King County","033","011700","1",1503.00,1503,1503,1510,"530330117001"
"G53003300117002","2010","Washington","53","King County","033","011700","2",1414.00,1414,1414,1527,"530330117002"
"G53003300117003","2010","Washington","53","King County","033","011700","3",1321.00,1321,1321,1372,"530330117003"
"G53003300117004","2010","Washington","53","King County","033","011700","4",940.29,689,954,1129,"530330117004"
"G53003300118001","2010","Washington","53","King County","033","011800","1",1100.00,1100,1100,801,"530330118001"
"G53003300118002","2010","Washington","53","King County","033","011800","2",864.00,864,864,885,"530330118002"
"G53003300118003","2010","Washington","53","King County","033","011800","3",1093.00,1093,1093,1091,"530330118003"
"G53003300118004","2010","Washington","53","King County","033","011800","4",1479.00,1479,1479,1124,"530330118004"
"G53003300118005","2010","Washington","53","King County","033","011800","5",1256.00,1256,1256,1243,"530330118005"
"G53003300118006","2010","Washington","53","King County","033","011800","6",1705.00,1705,1705,2239,"530330118006"
"G53003300119001","2010","Washington","53","King County","033","011900","1",1330.00,1330,1330,1322,"530330119001"
"G53003300119002","2010","Washington","53","King County","033","011900","2",1715.00,1715,1715,1470,"530330119002"
"G53003300119003","2010","Washington","53","King County","033","011900","3",1246.29,1239,1483,1236,"530330119003"
"G53003300119004","2010","Washington","53","King County","033","011900","4",1429.52,1315,1436,1489,"530330119004"
"G53003300119005","2010","Washington","53","King County","033","011900","5",1441.00,1441,1441,1591,"530330119005"
"G53003300120001","2010","Washington","53","King County","033","012000","1",1161.00,1161,1161,1082,"530330120001"
"G53003300120002","2010","Washington","53","King County","033","012000","2",1163.28,1034,1166,1175,"530330120002"
"G53003300120003","2010","Washington","53","King County","033","012000","3",1074.00,1074,1074,1092,"530330120003"
"G53003300121001","2010","Washington","53","King County","033","012100","1",1237.00,1237,1237,1157,"530330121001"
"G53003300121002","2010","Washington","53","King County","033","012100","2",1508.00,1508,1508,1524,"530330121002"
